"playerID";"tmID";"pos";"award";"playerScore";"postPlayerScore";"year";"dq";"PostDQ";"threeAccuracy";"postThreeAccuracy";"firstseason";"lastseason";"height";"weight";"won";"post_wins";"rank";"playoff";"firstRound";"semis";"finals";"homeW";"min";"attend";"W";"teams_score"
0.0;0.0;0.0;-1.0;0.42517079752623016;-1.0;2;2;0;0.25;-1.0;0;0;74.0;169;-1;-1;6;0;0;0;0;6;6475;120607;-1.0;1897.1
0.0;0.0;0.0;-1.0;-0.031307704465437784;-1.0;3;0;0;0.3333333333333333;-1.0;0;0;74.0;169;-1;-1;8;0;0;0;0;7;6475;139874;-1.0;1968.0
0.0;0.0;0.0;-1.0;0.43980624611504276;-0.29961087627631555;4;0;0;0.3048780487804878;0.42857142857142855;0;0;74.0;169;-1;-1;4;0;0;0;0;11;6850;120253;1.0;2491.7
0.0;0.0;0.0;-1.0;0.09341968523062134;-0.23922086751132826;5;0;0;0.37735849056603776;0.25;0;0;74.0;169;-1;-1;3;1;0;0;0;11;6850;125097;0.0;2126.9
0.0;0.0;0.0;-1.0;0.21151505525834757;-1.0;6;0;0;0.4024390243902439;-1.0;0;0;74.0;169;-1;-1;6;1;0;0;0;11;6850;113447;-1.0;2288.1000000000004
0.0;0.0;0.0;-1.0;0.2277886943732646;-1.0;7;0;0;0.36923076923076925;-1.0;0;0;74.0;169;-1;-1;7;0;0;0;0;8;6825;109522;-1.0;2510.1
0.0;0.0;0.0;-1.0;0.808683957970615;-1.0;8;0;0;0.44554455445544555;-1.0;0;0;74.0;169;-1;-1;6;0;0;0;0;7;6875;121019;-1.0;2767.9000000000005
0.0;1.0;0.0;-1.0;-0.02296636855639935;0.2766210134960222;9;0;0;0.16666666666666666;0.0;0;0;74.0;169;-1;-1;2;1;0;0;0;13;6850;129951;1.0;2831.5000000000005
1.0;0.0;1.0;-1.0;0.05954224915429403;-1.0;4;0;0;0.4166666666666667;-1.0;0;0;75.0;180;-1;-1;4;0;0;0;0;11;6850;120253;1.0;2491.7
2.0;2.0;2.0;-1.0;0.18028470001200309;0.2663471115853523;3;0;0;0.5238095238095238;-1.0;0;0;67.0;165;-1;-1;3;1;0;0;0;12;6450;118720;2.0;2330.1999999999994
3.0;3.0;2.0;-1.0;0.10559353929114448;-1.0;9;1;0;0.19117647058823528;-1.0;0;0;68.0;160;-1;-1;5;0;0;0;0;13;6925;111951;-1.0;2599.8
3.0;4.0;2.0;-1.0;0.19066790762949068;0.8882203507664699;10;1;0;0.34146341463414637;0.25;0;0;68.0;160;-1;-1;4;0;0;0;0;11;6875;192747;0.0;2485.1999999999994
4.0;4.0;2.0;-1.0;-0.49311569172646597;0.24433160749106042;1;0;0;0.5;0.0;0;0;71.0;153;-1;-1;4;1;0;0;0;7;6400;244134;0.0;2287.2999999999997
4.0;4.0;2.0;-1.0;-1.5728594659152462;-1.0;2;0;0;0.0;-1.0;0;0;71.0;153;-1;-1;8;1;0;0;0;8;6500;246667;-1.0;2091.2999999999997
5.0;5.0;3.0;-1.0;-0.8874846477352161;-1.0;2;0;0;0.36363636363636365;-1.0;0;0;72.0;149;-1;-1;5;1;0;0;0;10;6450;118874;-1.0;2264.2000000000003
6.0;6.0;2.0;-1.0;-0.5592703048495569;-2.8260973635261917;9;0;0;0.3333333333333333;-1.0;0;0;71.0;135;-1;-1;4;1;0;0;0;13;6800;139066;1.0;2475.0
7.0;7.0;0.0;-1.0;-0.8487316289366691;-1.0;2;0;0;-1.0;-1.0;0;0;73.0;175;-1;-1;2;1;0;0;0;13;6400;250565;3.0;2360.7
7.0;8.0;0.0;-1.0;-0.8091540778232583;-1.0;4;0;0;-1.0;-1.0;0;0;73.0;175;-1;-1;5;1;0;0;0;13;6850;120857;-1.0;2628.7
7.0;4.0;0.0;-1.0;1.7089676117674812;-1.0;6;0;0;-1.0;-1.0;0;0;73.0;175;-1;-1;5;1;0;0;0;10;6900;171501;-1.0;2383.7000000000003
8.0;6.0;0.0;-1.0;-2.7088765312669594;-1.0;3;0;0;-1.0;-1.0;0;0;76.0;169;-1;-1;6;1;0;0;0;10;6575;144179;-1.0;2205.6000000000004
9.0;1.0;0.0;-1.0;2.8715581757239126;-1.0;7;0;0;-1.0;-1.0;0;0;72.0;167;-1;-1;1;1;0;0;0;14;6825;126096;3.0;2967.4
9.0;7.0;0.0;-1.0;-1.081249741727955;-1.0;7;0;0;-1.0;-1.0;0;0;72.0;167;-1;-1;5;1;0;0;0;7;6875;155048;-1.0;2292.9000000000005
10.0;6.0;1.0;-1.0;-1.011902234404238;-0.8421714773279279;4;1;0;-1.0;-1.0;0;0;78.0;190;-1;-1;3;0;0;0;0;12;6825;155578;3.0;2536.8
10.0;6.0;1.0;-1.0;-0.6705683996550337;-0.4593639597410355;5;0;0;-1.0;-1.0;0;0;78.0;190;-1;-1;4;1;0;0;0;10;6900;147544;3.0;2578.7
10.0;9.0;1.0;-1.0;-0.5317562644140184;-1.0;6;5;0;-1.0;-1.0;0;0;78.0;190;-1;-1;7;0;0;0;0;5;6800;135054;-1.0;1952.6999999999998
10.0;9.0;1.0;-1.0;0.32396841818460165;-1.0;7;0;0;-1.0;-1.0;0;0;78.0;190;-1;-1;6;0;0;0;0;6;6800;125749;-1.0;2655.5
10.0;9.0;1.0;-1.0;0.4706734762045842;-0.12200638063795796;8;0;0;-1.0;-1.0;0;0;78.0;190;-1;-1;2;0;0;0;0;9;6875;128680;2.0;2711.8
11.0;1.0;2.0;-1.0;-0.43754837225670973;-1.0;9;0;0;0.2318840579710145;-1.0;0;0;68.0;166;-1;-1;2;1;0;0;0;13;6850;129951;1.0;2831.5000000000005
