"playerScore";"postPlayerScore";"playerID";"year";"tmID";"lgID";"dq";"PostDQ";"threeAccuracy";"postThreeAccuracy";"pos";"firstseason";"lastseason";"height";"weight";"college";"collegeOther";"birthDate";"deathDate";"won";"lost";"post_wins";"post_losses";"award";"rank";"playoff";"firstRound";"semis";"finals";"GP";"homeW";"homeL";"awayW";"min";"attend";"W";"teams_score"
0.42517079752623016;;"abrossv01w";2;"MIN";"WNBA";2;0;0.25;;"F";0;0;74.0;169;"Connecticut";;1980-07-09 00:00:00;"0000-00-00";;;;;;6;0;0;0;0;32;6;10;6;6475;120607;;1897.1
-0.031307704465437784;;"abrossv01w";3;"MIN";"WNBA";0;0;0.3333333333333333;;"F";0;0;74.0;169;"Connecticut";;1980-07-09 00:00:00;"0000-00-00";;;;;;8;0;0;0;0;32;7;9;3;6475;139874;;1968.0
0.43980624611504276;-0.29961087627631555;"abrossv01w";4;"MIN";"WNBA";0;0;0.3048780487804878;0.42857142857142855;"F";0;0;74.0;169;"Connecticut";;1980-07-09 00:00:00;"0000-00-00";;;;;;4;0;0;0;0;34;11;6;7;6850;120253;1.0;2491.7
0.09341968523062134;-0.23922086751132826;"abrossv01w";5;"MIN";"WNBA";0;0;0.37735849056603776;0.25;"F";0;0;74.0;169;"Connecticut";;1980-07-09 00:00:00;"0000-00-00";;;;;;3;1;0;0;0;34;11;6;7;6850;125097;0.0;2126.9
0.21151505525834757;;"abrossv01w";6;"MIN";"WNBA";0;0;0.4024390243902439;;"F";0;0;74.0;169;"Connecticut";;1980-07-09 00:00:00;"0000-00-00";;;;;;6;1;0;0;0;34;11;6;3;6850;113447;;2288.1000000000004
0.2277886943732646;;"abrossv01w";7;"MIN";"WNBA";0;0;0.36923076923076925;;"F";0;0;74.0;169;"Connecticut";;1980-07-09 00:00:00;"0000-00-00";;;;;;7;0;0;0;0;34;8;9;2;6825;109522;;2510.1
0.808683957970615;;"abrossv01w";8;"MIN";"WNBA";0;0;0.44554455445544555;;"F";0;0;74.0;169;"Connecticut";;1980-07-09 00:00:00;"0000-00-00";;;;;;6;0;0;0;0;34;7;10;3;6875;121019;;2767.9000000000005
-0.02296636855639935;0.2766210134960222;"abrossv01w";9;"CON";"WNBA";0;0;0.16666666666666666;0.0;"F";0;0;74.0;169;"Connecticut";;1980-07-09 00:00:00;"0000-00-00";;;;;;2;1;0;0;0;34;13;4;8;6850;129951;1.0;2831.5000000000005
0.05954224915429403;;"adamsjo01w";4;"MIN";"WNBA";0;0;0.4166666666666667;;"C";0;0;75.0;180;"New Mexico";;1981-05-24 00:00:00;"0000-00-00";;;;;;4;0;0;0;0;34;11;6;7;6850;120253;1.0;2491.7
0.18028470001200309;0.2663471115853523;"aguilel01w";3;"UTA";"WNBA";0;0;0.5238095238095238;;"G";0;0;67.0;165;"George Washington";;1976-10-15 00:00:00;"0000-00-00";;;;;;3;1;0;0;0;32;12;4;8;6450;118720;2.0;2330.1999999999994
0.10559353929114448;;"ajavoma01w";9;"HOU";"WNBA";1;0;0.19117647058823528;;"G";0;0;68.0;160;"Rutgers";;1986-05-07 00:00:00;"0000-00-00";;;;;;5;0;0;0;0;34;13;4;4;6925;111951;;2599.8
0.19066790762949068;0.8882203507664699;"ajavoma01w";10;"WAS";"WNBA";1;0;0.34146341463414637;0.25;"G";0;0;68.0;160;"Rutgers";;1986-05-07 00:00:00;"0000-00-00";;;;;;4;0;0;0;0;34;11;6;5;6875;192747;0.0;2485.1999999999994
